Porosity,Mat. Young Modulus,Ultimate Strength,Mat. Fracture Strain,Young Modulus,Yield Strength,Fracture Strength,Fracture Strain,Toughness,Strain Rate
83.0297,396,20.6,173,20.4428,0.9321,1.4328,71.4666,0.8395,0.004902183
41.2906,4.6,8.9,120,0.876,0.5333,0.6662,90.0332,0.3272,0.004902042
50.2851,4.6,8.9,120,0.6289,0.5229,0.595,97.7574,0.2984,0.004902039
55.4897,4.6,8.9,120,0.5408,0.4763,0.4854,88.8871,0.2152,0.004902037
59.4234,4.6,8.9,120,0.587,0.5815,0.587,112.0882,0.3437,0.004902048
69.3834,4.6,8.9,120,0.4295,0.408,0.429,107.9649,0.2401,0.004902038
54.7512,2600,61,13,194.506,8.3156,9.1256,11.9131,0.8351,0.004904319
60.5054,2600,61,13,173.3505,5.147,6.0611,4.2524,0.144,0.004906829
65.9692,2600,61,13,135.0253,5.2499,5.8347,9.7422,0.4216,0.004905035
75.5119,2600,61,13,77.5103,2.9243,3.1893,9.9137,0.2371,0.004903557
45.0701,2600,61,13,244.0487,9.2863,10.8971,7.0135,0.4888,0.004907309
50.5651,2600,61,13,215.5951,9.0581,9.8794,7.0387,0.4445,0.004906293
53.5807,2600,61,13,207.2995,9.146,9.8687,9.7394,0.6925,0.00490528
58.218,2600,61,13,179.6947,7.5355,8.4677,10.0441,0.6183,0.004904214
57.8562,2600,61,13,178.8135,7.6903,8.4171,9.4341,0.5694,0.004904718
59.8576,2600,61,13,153.577,6.7704,7.3752,12.0528,0.6828,0.004903286
66.693,2600,61,13,122.245,4.923,5.4895,9.8775,0.3984,0.004903307
65.0623,2600,61,13,132.5908,5.2955,5.762,8.1478,0.3277,0.004903949
71.3884,2600,61,13,99.3884,3.9241,4.3357,9.3887,0.297,0.004903965
71.9781,2600,61,13,102.9886,3.9726,4.3945,8.8113,0.2792,0.004903708
77.491,2600,61,13,78.6896,3.072,3.6101,14.5104,0.4085,0.004902869
53.6595,1434,45,101,80.6324,3.7069,4.7109,46.7697,1.844,0.004902609
56.437,1434,45,101,93.3966,4.2685,5.0505,42.0774,1.816,0.004902156
